 , ,Austria,Belgium,Croatia,Germany,Hungary,Netherlands,Slovenia,SMD,p
,,(N=807),(N=1223),(N=374),(N=9513),(N=1006),(N=1631),(N=93),,
"status (Apr 1, 2021)",active,563 (70%),907 (74%),135 (36%),6480 (68%),770 (76%),712 (44%),46 (50%),,<0.001
,inactive,244 (30%),316 (26%),239 (64%),3033 (32%),236 (24%),919 (56%),47 (50%),,
type transplant,primary,581 (72%),972 (80%),304 (81%),7813 (82%),941 (94%),1321 (81%),74 (80%),,<0.001
,repeat,226 (28%),251 (20%),70 (19%),1700 (18%),65 (6%),310 (19%),19 (20%),,
sex,Female,287 (36%),486 (40%),114 (30%),3528 (37%),402 (40%),651 (40%),32 (34%),,0.003
,Male,520 (64%),737 (60%),260 (70%),5985 (63%),604 (60%),980 (60%),61 (66%),,
age,0-17 years,5 (1%),16 (1%),5 (1%),159 (2%),14 (1%),9 (1%),0 (0%),,<0.001
,18-49 years,264 (33%),433 (35%),144 (38%),3334 (35%),404 (40%),392 (24%),36 (39%),,
,50-64 years,401 (50%),532 (44%),149 (40%),4639 (49%),402 (40%),691 (42%),40 (43%),,
,65+ years,137 (17%),242 (20%),76 (20%),1381 (14%),186 (18%),539 (33%),17 (18%),,
ABO blood group,O,408 (51%),654 (54%),145 (39%),4216 (44%),368 (37%),826 (51%),38 (41%),,<0.001
,A,239 (30%),332 (27%),133 (36%),3468 (36%),372 (37%),478 (29%),24 (26%),,
,B,131 (16%),200 (16%),75 (20%),1383 (14%),206 (20%),278 (17%),22 (24%),,
,AB,29 (4%),37 (3%),21 (6%),446 (5%),60 (6%),49 (3%),9 (10%),,
vPRA group,0%,479 (59%),694 (57%),189 (50%),5573 (59%),717 (71%),1085 (66%),50 (54%),,<0.001
,>0-84.9%,209 (26%),299 (24%),100 (27%),2650 (28%),173 (17%),337 (21%),19 (20%),,
,85+%,119 (15%),230 (19%),85 (23%),1290 (14%),116 (12%),209 (13%),24 (26%),,
dialysis status,on dialysis,789 (98%),1164 (95%),358 (96%),9497 (100%),924 (92%),1455 (89%),90 (97%),,<0.001
,preemptive,18 (2%),59 (5%),16 (4%),16 (0%),82 (8%),176 (11%),3 (3%),,
"dialysis time (Apr 1, 2021)",Mean [Q1-Q3],3.2 [1.5-4.2],3.1 [1.1-4.1],3.4 [1.6-4.2],5.7 [3.1-7.7],3.0 [1.2-4.3],1.9 [0.0-2.8],4.0 [1.8-5.5],,<0.001
